model,params,feature_set,n_features,fit_s,val_pr_auc,val_roc_auc,val_n_positives,val_fraud_rate,val_brier,val_precision_at_1p1k,val_recall_at_1p1k,val_capture_at_1p1k,val_precision_at_5p1k,val_recall_at_5p1k,val_capture_at_5p1k,val_precision_at_1p,val_recall_at_1p,val_capture_at_1p,val_precision_at_5p,val_recall_at_5p,val_capture_at_5p,val_f1_at_1pct,val_f2_at_1pct,test_pr_auc,test_roc_auc,test_n_positives,test_fraud_rate,test_brier,test_precision_at_1p1k,test_recall_at_1p1k,test_capture_at_1p1k,test_precision_at_5p1k,test_recall_at_5p1k,test_capture_at_5p1k,test_precision_at_1p,test_recall_at_1p,test_capture_at_1p,test_precision_at_5p,test_recall_at_5p,test_capture_at_5p,test_f1_at_1pct,test_f2_at_1pct
lr,baseline,full_safe,50,17.5,0.7696378053173037,0.9976756981137284,326,0.0038056547827508115,0.005808686234200203,0.8488372093023255,0.22392638036809817,22.392638036809817,0.6518691588785047,0.8558282208588958,85.58282208588957,0.3628938156359393,0.9539877300613497,95.39877300613497,0.07494746672892832,0.9846625766871165,98.46625766871165,0.525781910397295,0.7195742711707542,0.3545474848119105,0.9865059683217559,238,0.0015018236429950654,0.0068070462138096945,0.45569620253164556,0.3025210084033613,30.252100840336134,0.23863636363636365,0.7941176470588235,79.41176470588235,0.1331230283911672,0.8865546218487395,88.65546218487394,0.028394750126198888,0.9453781512605042,94.53781512605042,0.23148656061437192,0.41584548679542765
lr,tuned,full_safe,50,8.6,0.7873712821577522,0.9977865914082823,326,0.0038056547827508115,0.005156269669756892,0.8372093023255814,0.22085889570552147,22.085889570552148,0.6588785046728972,0.8650306748466258,86.50306748466258,0.3617269544924154,0.950920245398773,95.0920245398773,0.07564791034321737,0.9938650306748467,99.38650306748467,0.5240912933220625,0.7172605275335493,0.38369903657150545,0.9891685161893066,238,0.0015018236429950654,0.006068626430849619,0.4810126582278481,0.31932773109243695,31.932773109243694,0.24621212121212122,0.819327731092437,81.9327731092437,0.13186119873817034,0.8781512605042017,87.81512605042016,0.028647147905098435,0.9537815126050421,95.37815126050421,0.2292923752057049,0.4119038234134805
lr,tuned,selected_by_permutation,30,5.5,0.7839997725446934,0.9980431377432033,326,0.0038056547827508115,0.004173063230920435,0.8372093023255814,0.22085889570552147,22.085889570552148,0.6448598130841121,0.8466257668711656,84.66257668711657,0.3663943990665111,0.9631901840490797,96.31901840490798,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5308537616229924,0.7265155020823693,0.3490410002470729,0.9877500811998502,238,0.0015018236429950654,0.004936091996157627,0.4430379746835443,0.29411764705882354,29.411764705882355,0.23106060606060605,0.7689075630252101,76.89075630252101,0.13249211356466878,0.8823529411764706,88.23529411764706,0.028268551236749116,0.9411764705882353,94.11764705882352,0.2303894679100384,0.4138746551044541
lr,tuned,drift_robust,41,7.6,0.6544676392025219,0.992082919715124,326,0.0038056547827508115,0.014053269333474259,0.8023255813953488,0.2116564417177914,21.165644171779142,0.5981308411214953,0.7852760736196319,78.52760736196319,0.338389731621937,0.8895705521472392,88.95705521472392,0.07378006070511324,0.9693251533742331,96.93251533742331,0.4902789518174134,0.6709856547894494,0.3051619462648018,0.981905882629095,238,0.0015018236429950654,0.015350460762655485,0.4177215189873418,0.2773109243697479,27.73109243697479,0.2196969696969697,0.7310924369747899,73.10924369747899,0.12302839116719243,0.819327731092437,81.9327731092437,0.028142352347299344,0.9369747899159664,93.69747899159664,0.21393307734503567,0.3843121797398502
lr,tuned,label_free,46,8.4,0.3871548766626503,0.9834212188154396,326,0.0038056547827508115,0.012332440188002163,0.6162790697674418,0.16257668711656442,16.257668711656443,0.37383177570093457,0.49079754601226994,49.079754601226995,0.26837806301050177,0.7055214723926381,70.5521472392638,0.07074480504319403,0.9294478527607362,92.94478527607362,0.3888419273034658,0.5321610365571494,0.17093532287650037,0.9660457436090037,238,0.0015018236429950654,0.012132529845261518,0.3037974683544304,0.20168067226890757,20.168067226890756,0.16792929292929293,0.5588235294117647,55.88235294117647,0.09905362776025237,0.6596638655462185,65.96638655462185,0.02486118122160525,0.8277310924369747,82.77310924369748,0.17224355458036203,0.3094205754828538
rf,baseline,full_safe,50,47.4,0.8973953136327536,0.9989339505878171,326,0.0038056547827508115,0.0059373521667897946,1.0,0.26380368098159507,26.380368098159508,0.6799065420560748,0.8926380368098159,89.2638036809816,0.36989498249708286,0.9723926380368099,97.23926380368098,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5359256128486898,0.7334567329939843,0.7067424183145036,0.9906165049502699,238,0.0015018236429950654,0.006633433355348111,0.8291139240506329,0.5504201680672269,55.04201680672269,0.25252525252525254,0.8403361344537815,84.03361344537815,0.13501577287066246,0.8991596638655462,89.91596638655463,0.028647147905098435,0.9537815126050421,95.37815126050421,0.23477783872737246,0.42175798186834845
rf,baseline,full_safe,50,53.8,0.8973953136327536,0.9989339505878171,326,0.0038056547827508115,0.0059373521667897946,1.0,0.26380368098159507,26.380368098159508,0.6799065420560748,0.8926380368098159,89.2638036809816,0.36989498249708286,0.9723926380368099,97.23926380368098,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5359256128486898,0.7334567329939843,0.7067424183145036,0.9906165049502699,238,0.0015018236429950654,0.006633433355348111,0.8291139240506329,0.5504201680672269,55.04201680672269,0.25252525252525254,0.8403361344537815,84.03361344537815,0.13501577287066246,0.8991596638655462,89.91596638655463,0.028647147905098435,0.9537815126050421,95.37815126050421,0.23477783872737246,0.42175798186834845
rf,baseline,selected_by_permutation,30,34.4,0.9414455902284632,0.9993217715780738,326,0.0038056547827508115,0.00753832855399886,0.9883720930232558,0.2607361963190184,26.07361963190184,0.7242990654205608,0.950920245398773,95.0920245398773,0.36989498249708286,0.9723926380368099,97.23926380368098,0.07564791034321737,0.9938650306748467,99.38650306748467,0.5359256128486898,0.7334567329939843,0.7972055426730555,0.9933173160565827,238,0.0015018236429950654,0.008181015111264912,0.9113924050632911,0.6050420168067226,60.50420168067227,0.2689393939393939,0.8949579831932774,89.49579831932773,0.13753943217665615,0.9159663865546218,91.59663865546219,0.029025744573447754,0.9663865546218487,96.63865546218487,0.23916620954470652,0.4296413086322428
rf,baseline,drift_robust,41,56.7,0.7531268817725467,0.9928040855893498,326,0.0038056547827508115,0.016942502492950803,0.9767441860465116,0.25766871165644173,25.766871165644172,0.5654205607476636,0.7423312883435583,74.23312883435584,0.3278879813302217,0.8619631901840491,86.1963190184049,0.07378006070511324,0.9693251533742331,96.93251533742331,0.4750633981403212,0.6501619620546043,0.5618567333252628,0.9853134484158436,238,0.0015018236429950654,0.017570338478451335,0.7025316455696202,0.46638655462184875,46.63865546218487,0.21464646464646464,0.7142857142857143,71.42857142857143,0.11545741324921135,0.7689075630252101,76.89075630252101,0.027385159010600707,0.9117647058823529,91.17647058823529,0.20076796489303347,0.36066219944816713
rf,baseline,label_free,46,62.7,0.49026285221453325,0.9766795894798533,326,0.0038056547827508115,0.01845845014622998,0.872093023255814,0.23006134969325154,23.006134969325153,0.4182242990654206,0.549079754601227,54.90797546012271,0.25787631271878647,0.6779141104294478,67.79141104294479,0.06560821853840766,0.8619631901840491,86.1963190184049,0.37362637362637363,0.5113373438223044,0.2395908137951088,0.9590218503539336,238,0.0015018236429950654,0.019852977453594645,0.35443037974683544,0.23529411764705882,23.52941176470588,0.15151515151515152,0.5042016806722689,50.42016806722689,0.08895899053627761,0.592436974789916,59.2436974789916,0.023725391216557295,0.7899159663865546,78.99159663865547,0.15469007131102577,0.2778872684272763
hgb,baseline,full_safe,50,10.9,0.9244956982025758,0.992024112120346,326,0.0038056547827508115,0.0016828884796013213,1.0,0.26380368098159507,26.380368098159508,0.705607476635514,0.9263803680981595,92.63803680981594,0.3663943990665111,0.9631901840490797,96.31901840490798,0.07518094793369134,0.9877300613496932,98.77300613496932,0.5308537616229924,0.7265155020823693,0.7663899471852309,0.9747343267295034,238,0.0015018236429950654,0.0016452171715642843,0.879746835443038,0.5840336134453782,58.40336134453782,0.2588383838383838,0.8613445378151261,86.1344537815126,0.1362776025236593,0.907563025210084,90.75630252100841,0.028394750126198888,0.9453781512605042,94.53781512605042,0.2369720241360395,0.42569964525029563
hgb,tuned,full_safe,50,12.4,0.9532157494449297,0.9994631111029314,326,0.0038056547827508115,0.0018904653086088117,1.0,0.26380368098159507,26.380368098159508,0.7242990654205608,0.950920245398773,95.0920245398773,0.3687281213535589,0.9693251533742331,96.93251533742331,0.07611487275274341,1.0,100.0,0.5342349957734573,0.7311429893567792,0.8144481035066833,0.99379808927034,238,0.0015018236429950654,0.0020113446500137316,0.9367088607594937,0.6218487394957983,62.18487394957983,0.26262626262626265,0.8739495798319328,87.39495798319328,0.13564668769716087,0.9033613445378151,90.33613445378151,0.029151943462897525,0.9705882352941176,97.05882352941177,0.235874931431706,0.423728813559322
hgb,tuned,selected_by_permutation,30,9.0,0.9498434943801246,0.9992518926268217,326,0.0038056547827508115,0.00202142267967558,1.0,0.26380368098159507,26.380368098159508,0.719626168224299,0.9447852760736196,94.47852760736197,0.3687281213535589,0.9693251533742331,96.93251533742331,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5342349957734573,0.7311429893567792,0.7942915583830035,0.9923252068339153,238,0.0015018236429950654,0.002164161829909186,0.930379746835443,0.6176470588235294,61.76470588235294,0.26262626262626265,0.8739495798319328,87.39495798319328,0.13375394321766562,0.8907563025210085,89.07563025210085,0.029151943462897525,0.9705882352941176,97.05882352941177,0.23258365331870542,0.4178163184864013
hgb,tuned,drift_robust,41,13.1,0.8535754174274721,0.9953320213536272,326,0.0038056547827508115,0.005279277947763012,0.9883720930232558,0.2607361963190184,26.07361963190184,0.6425233644859814,0.843558282208589,84.3558282208589,0.34889148191365227,0.9171779141104295,91.71779141104295,0.07424702311463927,0.9754601226993865,97.54601226993866,0.5054945054945055,0.6918093475242943,0.648590686982715,0.9890117059488422,238,0.0015018236429950654,0.0054304555747002065,0.7721518987341772,0.5126050420168067,51.26050420168067,0.23863636363636365,0.7941176470588235,79.41176470588235,0.12933753943217666,0.8613445378151261,86.1344537815126,0.02801615345784957,0.9327731092436975,93.27731092436974,0.22490400438837083,0.4040204966495861
hgb,tuned,label_free,46,15.7,0.625148260997425,0.9865977275825162,326,0.0038056547827508115,0.00909421364259183,0.8953488372093024,0.2361963190184049,23.619631901840492,0.4976635514018692,0.6533742331288344,65.33742331288343,0.294049008168028,0.7730061349693251,77.30061349693251,0.070511323838431,0.9263803680981595,92.63803680981594,0.4260355029585799,0.5830633965756594,0.4044748427042183,0.977680370411518,238,0.0015018236429950654,0.010623319133190513,0.5063291139240507,0.33613445378151263,33.61344537815126,0.19065656565656566,0.634453781512605,63.4453781512605,0.11419558359621451,0.7605042016806722,76.05042016806722,0.02612317011610298,0.8697478991596639,86.97478991596638,0.19857377948436644,0.35672053606621995
catboost,baseline,full_safe,50,237.8,0.9613387587350977,0.9994924430083953,326,0.0038056547827508115,0.0009976407981729803,1.0,0.26380368098159507,26.380368098159508,0.7289719626168224,0.9570552147239264,95.70552147239265,0.37222870478413067,0.9785276073619632,97.85276073619632,0.07611487275274341,1.0,100.0,0.5393068469991547,0.7380842202683943,0.8544215938571558,0.9937319982215692,238,0.0015018236429950654,0.0009766148668712575,0.9810126582278481,0.6512605042016807,65.12605042016807,0.27146464646464646,0.9033613445378151,90.33613445378151,0.1381703470031546,0.9201680672268907,92.01680672268907,0.029151943462897525,0.9705882352941176,97.05882352941177,0.24026330224904005,0.4316121403232164
catboost,baseline,full_safe,50,232.1,0.9613387587350977,0.9994924430083953,326,0.0038056547827508115,0.0009976407981729803,1.0,0.26380368098159507,26.380368098159508,0.7289719626168224,0.9570552147239264,95.70552147239265,0.37222870478413067,0.9785276073619632,97.85276073619632,0.07611487275274341,1.0,100.0,0.5393068469991547,0.7380842202683943,0.8544215938571558,0.9937319982215692,238,0.0015018236429950654,0.0009766148668712575,0.9810126582278481,0.6512605042016807,65.12605042016807,0.27146464646464646,0.9033613445378151,90.33613445378151,0.1381703470031546,0.9201680672268907,92.01680672268907,0.029151943462897525,0.9705882352941176,97.05882352941177,0.24026330224904005,0.4316121403232164
catboost,baseline,selected_by_permutation,30,190.0,0.9620970916161025,0.999413110268985,326,0.0038056547827508115,0.0008940939642563078,1.0,0.26380368098159507,26.380368098159508,0.7266355140186916,0.9539877300613497,95.39877300613497,0.3710618436406068,0.9754601226993865,97.54601226993866,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5376162299239222,0.7357704766311892,0.8416628207407962,0.9918692343592307,238,0.0015018236429950654,0.0009569522569131361,0.9746835443037974,0.6470588235294118,64.70588235294117,0.2702020202020202,0.8991596638655462,89.91596638655463,0.138801261829653,0.9243697478991597,92.43697478991596,0.029025744573447754,0.9663865546218487,96.63865546218487,0.24136039495337355,0.43358297201419
catboost,baseline,drift_robust,41,188.7,0.8651839359778215,0.9950835628602864,326,0.0038056547827508115,0.0024847588282859035,0.9883720930232558,0.2607361963190184,26.07361963190184,0.6495327102803738,0.852760736196319,85.2760736196319,0.35122520420070014,0.9233128834355828,92.33128834355828,0.07448050431940229,0.9785276073619632,97.85276073619632,0.5088757396449705,0.6964368347987043,0.7045881750432823,0.9883502378428052,238,0.0015018236429950654,0.002486050323583577,0.8291139240506329,0.5504201680672269,55.04201680672269,0.2398989898989899,0.7983193277310925,79.83193277310924,0.12618296529968454,0.8403361344537815,84.03361344537815,0.027889954568399798,0.9285714285714286,92.85714285714286,0.21941854086670323,0.3941663381947182
catboost,baseline,label_free,46,156.8,0.6886888250576305,0.9895464467847344,326,0.0038056547827508115,0.003433908757505431,0.9534883720930233,0.25153374233128833,25.153374233128833,0.5490654205607477,0.7208588957055214,72.08588957055214,0.30688448074679114,0.8067484662576687,80.67484662576688,0.07191221106700911,0.9447852760736196,94.47852760736197,0.4446322907861369,0.6085145765849144,0.4496783144467643,0.9727175141650989,238,0.0015018236429950654,0.003832498751361317,0.5949367088607594,0.3949579831932773,39.49579831932773,0.19570707070707072,0.6512605042016807,65.12605042016807,0.10410094637223975,0.6932773109243697,69.32773109243698,0.02624936900555275,0.8739495798319328,87.39495798319328,0.18102029621503016,0.3251872290106425
